詞目id,義項id,詞性,解說
13919,18825,熟語,手腳不乾淨，有順手牽羊或偷竊習慣的。
13922,18828,熟語,討生活。指靠勞力維生。
13922,18829,熟語,引申指微薄的所得，僅僅夠用來糊口。
13925,18833,熟語,手指間的縫隙大，民俗命理認為有這種手相的人容易漏財。引申形容出手大方，愛花錢的人。
13926,18834,熟語,月暈。月亮周圍有月暈。月亮周圍出現光圈。
13932,18844,熟語,惡臉相向。
13933,18846,熟語,棘手。人事物等難纏又不好應付。
13952,18869,熟語,破嗓子。形容人歌聲難聽。
13952,18870,熟語,大聲吆喝。
13963,18882,熟語,半老、初老。
13967,18888,熟語,字面上說一個是道士，一個是筊杯，用來比喻形影不離的兩個好朋友或關係密切的人。
13978,18902,熟語,生氣、憤怒的臉色。
13978,18903,熟語,冷漠的臉色。
13989,18916,熟語,流產。
14004,18937,熟語,不巧、碰巧。通常指倒楣的事。
14006,18940,熟語,很好之意。「唯」，語中助詞，加強語氣。
14011,18946,熟語,無家可歸、流離失所。指「流浪漢」或「街友」這些沒有屬於自己的房子可住，一天到晚皆在外面遊蕩，居無定所的情況。比喻無家可歸。
14031,18972,熟語,走不開、無法走開。
14052,18997,熟語,忘恩負義。
14069,19018,熟語,疾病纏身。生活艱困又罹患疾病。
14076,19028,熟語,丟人現眼。
14082,19037,熟語,獨自一人，沒有幫手。
14124,19094,熟語,闖入到別人家裡去進行滋擾、責難等不利於主人的事。
14127,19097,熟語,各地、大江南北。指從臺灣南部到北部的通稱，比喻全臺，沒有明確位置。
14140,19114,熟語,刺繡。利用各種色線在紡織品或其他物品上，以不同的方法繡出各種圖案。
14142,19117,熟語,形容生活貧困，連吃飯都有一餐沒一餐的。
14143,19118,熟語,餓過頭。
14148,19124,熟語,汗流浹背。
