詞目id,詞目類型,漢字,羅馬字,分類
221,主詞目,丈人爸,tiūnn-lâng-pâ,"兩性、婚姻,稱謂輩分"
222,主詞目,三八氣,sam-pat-khuì,個性風格
223,主詞目,丈人媽,tiūnn-lâng-má,"兩性、婚姻,稱謂輩分"
224,主詞目,上久,siōng-kú,"時間節令,性質、程度"
225,主詞目,上山,tsiūnn-suann,休閒、娛樂
226,主詞目,下山,hā-san,戲劇、音樂
227,主詞目,久久,kú-kú,"時間節令,性質、程度"
228,主詞目,大下,tuā-ē,性質、程度
229,主詞目,小口,sió-kháu,飲食行為
230,主詞目,小工,sió-kang,相關用語
231,主詞目,才子,tsâi-tsú,"地位、身世、背景,才智能力"
232,主詞目,大丈夫,tāi-tiōng-hu,"泛稱,個性風格"
233,主詞目,干干仔,kan-kan-á,副詞
234,主詞目,三山國王,Sam-san-kok-ông,神明、鬼怪、教派
235,主詞目,千千萬萬,tshian-tshian-bān-bān,"性質、程度,數詞、量詞"
236,主詞目,上山頭,tsiūnn-suann-thâu,婚喪喜慶
237,主詞目,丈公,tiūnn-kong,稱謂輩分
238,主詞目,上元,Siōng-guân,"時間節令,生活狀況,相關器具、活動"
239,主詞目,下元,Hā-guân,時間節令
240,主詞目,下勻,ē-ûn,稱謂輩分
241,主詞目,大不了,tāi-put-liáu,性質、程度
242,主詞目,三不五時,sam-put-gōo-sî,"時間節令,性質、程度"
243,主詞目,土公仔,thóo-kong-á,"服務業及其他,個性風格"
244,主詞目,小丑仔,siáu-thiú-á,"服務業及其他,休閒、娛樂"
245,主詞目,土公仔性,thóo-kong-á-sìng,個性風格
246,主詞目,上元暝,Siōng-guân-mê/Siōng-guân-mî,時間節令
247,主詞目,上午,siōng-ngóo,時間節令
248,主詞目,上天,siōng-thian,神明、鬼怪、教派
249,主詞目,上手,tsiūnn-tshiú,才智能力
250,主詞目,上水,tshiūnn-tsuí,"傷疾病痛,生活勞動"
251,主詞目,下午,hā-ngóo,時間節令
252,主詞目,下手,hē-tshiú,肢體動作
253,主詞目,下手,ē-tshiú,地位、身世、背景
254,主詞目,下水,hā-suí,"廢棄物,食物、飲料、煙酒,體育、運動"
255,主詞目,土木,thóo-bo̍k,"科技、工業,建築物、結構"
256,主詞目,大方,tāi-hong,"個性風格,氣質態度,待人處事"
257,主詞目,大日,tuā-ji̍t/tuā-li̍t,"氣候溫度,時間節令"
258,主詞目,大月,tuā-gue̍h/tuā-ge̍h,"時間節令,商業"
259,主詞目,寸尺,tshùn-tshioh,"形貌、體積,性質、程度"
260,主詞目,小心,sió-sim,心理狀態
261,主詞目,小月,sió-gue̍h/sió-ge̍h,"時間節令,商業"
262,主詞目,小木,sió-ba̍k,服務業及其他
263,主詞目,工夫,kang-hu,"才智能力,體育、運動"
264,主詞目,三太子,Sam-thài-tsú,神明、鬼怪、教派
265,主詞目,上尺工,siāng-tshe-kong,戲劇、音樂
266,主詞目,三心兩意,sam-sim-lióng-ì,心理狀態
267,主詞目,大心氣,tuā-sim-khuì,反應、表情
268,主詞目,千斤秤,tshian-kin-tshìn/tshian-kun-tshìn,"科技、工業,生產工具"
269,主詞目,三文魚,sam-bûn-hî/sam-bûn-hû,"魚蝦海獸,食物、飲料、煙酒"
270,主詞目,下水湯,hā-suí-thng,食物、飲料、煙酒
271,主詞目,大爿,tuā-pîng,"相關器具、活動,性質、程度"
272,主詞目,丸仔,uân-á,"食物、飲料、煙酒,形貌、體積"
273,主詞目,大兄,tuā-hiann,"宗族、家庭,稱謂輩分"
274,主詞目,工仔,kang-á,科技、工業
275,主詞目,巾仔,kin-á/kun-á,生活用品
276,主詞目,弓仔,king-á,生活用品
277,主詞目,大主大意,tuā-tsú-tuā-ì,"相關用語,待人處事"
278,主詞目,大代誌,tuā tāi-tsì,事、物泛稱
279,主詞目,上加,siōng-ke,副詞
280,主詞目,上北,tsiūnn-pak,
281,主詞目,下司,ē-si,"泛稱,相關用語"
282,主詞目,土包仔,thóo-pau-á,泛稱
283,主詞目,小可仔,sió-khuá-á,性質、程度
284,主詞目,大四界,tuā-sì-kè/tuā-sì-kuè,性質、程度
285,主詞目,上卌袂攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap,生養老死
286,主詞目,下半暝,ē-puànn-mê/ē-puànn-mî,時間節令
287,主詞目,上市,tsiūnn-tshī,財務單位、活動
288,主詞目,下本,hē-pún,財務單位、活動
289,主詞目,大本,tuā-pún,"錢財資產,數詞、量詞"
290,主詞目,小旦,sió-tuànn,"戲劇、音樂,休閒、娛樂"
291,主詞目,上目,tsiūnn-ba̍k,相關用語
292,主詞目,口白,kháu-pe̍h,戲劇、音樂
293,主詞目,大目,tuā-ba̍k,生理構造
294,主詞目,小生,sió-sing,戲劇、音樂
